,Year,Week,TempMax,TempMIN,PRCP_mm,GoogleTrendsFever,GoogleTrendsVomit,GoogleTrendsVaccine,TotalFluSympPatients,TotalFluPositiveVirusPatients,GoogleTrendsFatigue
249,2019,37,24,13,1.29,36,11,15,30.0,1.0,50.0
250,2019,38,27,12,0.04,36,11,10,36.0,0.0,50.0
252,2019,40,22,9,0.25,38,15,16,38.0,1.0,50.0
253,2019,41,20,9,1.96,40,9,14,76.0,2.0,51.0
254,2019,42,18,7,0.89,40,11,13,84.0,5.0,51.0
255,2019,43,18,11,5.79,37,13,13,66.0,0.0,51.0
256,2019,44,14,6,4.96,41,11,16,64.0,0.0,51.0
257,2019,45,16,8,0.71,42,13,15,103.0,2.0,50.0
258,2019,46,19,10,2.04,43,12,15,93.0,1.0,51.0
259,2019,47,17,8,0.25,40,12,11,98.0,1.0,51.0
260,2019,48,10,1,0.89,40,12,11,111.0,7.0,49.0
261,2019,49,10,5,1.93,45,14,13,108.0,6.0,51.0
262,2019,50,8,2,0.39,48,11,13,102.0,10.0,51.0
263,2019,51,8,5,1.93,50,10,8,97.0,12.0,52.0
264,2019,52,7,3,0.75,43,12,10,27.0,5.0,50.0
265,2020,1,7,1,1.18,43,13,12,62.0,8.0,50.0
266,2020,2,6,1,1.57,49,8,15,126.0,36.0,50.0
267,2020,3,9,2,0.46,58,11,13,158.0,49.0,49.0
268,2020,4,5,2,1.36,78,12,30,204.0,82.0,48.0
269,2020,5,7,3,0.0,82,11,21,270.0,129.0,48.0
